"artist","times_on_chart"
"BAEKHYUN",14
"BIGBANG",2
"BLACKPINK",331
"BTS",1422
"Brave Girls",19
"EVERGLOW",29
"GFRIEND",6
"Highlight",7
"ITZY",9
"IU",15
"IZ*ONE",12
"JENNIE",37
"JOY",11
"KAI",66
"LISA",126
"LOONA",7
"MINZY",1
"Miso",7
"PRISTIN",6
"Red Velvet",20
"SEUNGRI",1
"SHINee",1
"SOMI",15
"SWAN",11
"Stray Kids",10
"TWICE",77
"V",15
"WONHO",17
"ZICO",21
"j-hope",25
